NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_010E,B25077_001E,B25075_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_001E,B19001_017E,B19013_001E,B05002_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,state,county,tract
"Census Tract 3.01, Gila County, Arizona",1400000US04007000301,5234,49.8,4851,13,43,0,0,222,2910,2241,1524,717,1861,1554,229600,1524,0,5107,893,20829,2241,14,42074,5234,2255,2840,0,2560,2281,1861,0,0,0,254,53,1554,04,007,000301
"Census Tract 3.02, Gila County, Arizona",1400000US04007000302,3095,45.3,3001,23,0,0,0,0,1753,1238,939,299,783,520,209400,939,0,3095,174,21394,1238,0,48341,3095,988,1986,95,1782,1732,783,0,13,0,0,250,520,04,007,000302
"Census Tract 4, Gila County, Arizona",1400000US04007000400,5177,52.6,5119,0,0,0,0,15,3044,1979,1592,387,982,693,185600,1592,33,5177,751,27430,1979,38,42917,5177,1724,3221,9,2960,2770,982,0,0,0,59,230,693,04,007,000400
"Census Tract 5, Gila County, Arizona",1400000US04007000500,4930,51.5,4710,0,86,1,0,111,2860,2181,1599,582,1266,1040,207100,1599,3,4795,504,25720,2181,68,37602,4930,1681,3062,0,2597,2417,1266,0,12,8,93,113,1040,04,007,000500
"Census Tract 6, Gila County, Arizona",1400000US04007000600,1441,54.8,1421,0,0,0,20,0,1141,534,470,64,205,167,174200,470,14,1404,400,20307,534,0,39300,1441,566,814,0,895,768,205,0,0,6,22,10,167,04,007,000600
"Census Tract 7, Gila County, Arizona",1400000US04007000700,1005,62.4,1005,0,0,0,0,0,1237,536,500,36,86,71,144300,500,0,1005,333,23322,536,19,26935,1005,338,616,0,422,407,86,0,0,0,0,15,71,04,007,000700
"Census Tract 8, Gila County, Arizona",1400000US04007000800,1528,56.9,1408,0,6,0,0,104,1162,711,552,159,323,243,97100,552,0,1528,166,20715,711,6,26131,1528,814,670,15,820,652,323,0,0,0,29,51,243,04,007,000800
"Census Tract 9, Gila County, Arizona",1400000US04007000900,3436,40.6,3127,0,4,0,0,255,1620,1220,923,297,913,639,69700,923,0,3399,919,18901,1220,0,37813,3436,2115,908,76,2284,1742,913,0,0,0,0,274,639,04,007,000900
"Census Tract 10, Gila County, Arizona",1400000US04007001000,5179,48.4,4657,0,54,0,0,217,2589,2117,1574,543,1429,985,70100,1574,0,5179,1285,17694,2117,0,30196,5179,3000,1934,75,2844,2474,1429,0,0,14,160,270,985,04,007,001000
"Census Tract 11, Gila County, Arizona",1400000US04007001100,3664,47.0,2887,34,303,41,0,202,1937,1492,1222,270,841,692,100500,1222,0,3657,376,21249,1492,0,38956,3664,2471,918,27,2070,1724,841,7,25,0,0,117,692,04,007,001100
